지역,연도,조혼인율,혼인건수,평균초혼연령,사교육비,경력단절여성비율,주택매매가격지수,주택전세가격지수,청년순이동률
울산,2023,3.9,4274.0,31.07,36.8,21.808510638297875,100.58333333333333,99.58333333333333,-1.3
인천,2023,3.9,11621.0,31.57,42.4,16.666666666666664,100.56666666666666,96.28333333333335,1.6
전국,2023,3.8,193657.0,31.45,43.4,16.983507490872466,100.09166666666665,98.55,0.0
전남,2023,3.4,6157.0,30.83,27.9,13.135593220338984,100.61666666666667,100.69166666666666,-1.6
전북,2023,3.1,5483.0,31.0,30.2,10.67193675889328,100.04166666666667,99.68333333333334,-1.9
제주,2023,3.9,2614.0,31.72,34.5,10.81081081081081,102.675,102.33333333333333,-1.2
충남,2023,3.9,8264.0,30.94,30.8,18.04733727810651,101.13333333333333,101.10000000000001,0.6
충북,2023,3.9,6212.0,30.81,32.1,19.047619047619047,99.5,99.05833333333334,0.0
강원,2024,4.0,6143.0,31.23,33.9,14.691943127962084,99.76666666666667,99.64166666666667,-1.5
경기,2024,4.6,62629.0,31.68,51.3,16.591726618705035,99.51666666666667,98.64166666666667,0.9
경남,2024,3.5,11429.0,31.38,37.6,16.363636363636363,100.69166666666666,100.08333333333333,-1.8
경북,2024,3.6,9067.0,31.18,35.6,16.75977653631285,100.51666666666667,100.34166666666665,-1.8
광주,2024,4.0,5688.0,31.5,41.3,14.666666666666666,100.925,99.68333333333334,-1.6
국외,2024,,4279.0,28.57,,,,,
대구,2024,3.9,9289.0,31.54,47.8,18.911174785100286,102.94166666666666,101.99166666666667,-1.0
대전,2024,5.6,7986.0,31.19,45.7,16.216216216216218,100.875,100.93333333333334,0.1
부산,2024,3.5,11499.0,32.04,48.3,16.136363636363637,101.39166666666667,99.575,-1.0
서울,2024,4.6,42471.0,32.44,67.3,13.496448303078138,97.38333333333333,98.26666666666667,0.5
세종,2024,4.8,1842.0,31.79,47.8,19.480519480519483,102.85833333333333,101.04166666666667,1.7
울산,2024,4.3,4726.0,31.39,39.9,18.88888888888889,99.95833333333333,98.88333333333333,-0.6
인천,2024,4.4,13223.0,31.67,45.9,17.763157894736842,100.28333333333335,98.24166666666667,1.4
전국,2024,4.4,222412.0,31.55,47.4,15.874052782858636,99.85000000000001,99.34166666666665,0.0
전남,2024,3.9,7049.0,30.81,32.0,12.82051282051282,100.16666666666667,100.18333333333334,-1.9
전북,2024,3.7,6388.0,31.16,34.4,10.330578512396695,99.85000000000001,100.0,-2.1
제주,2024,4.1,2744.0,31.81,38.4,9.433962264150944,101.15833333333335,101.20833333333333,-1.5
충남,2024,4.3,9176.0,30.84,35.9,18.34862385321101,100.45833333333333,100.3,0.6
충북,2024,4.3,6784.0,31.0,35.2,17.768595041322314,100.05,99.75833333333333,-0.4
강원,2025,4.2,6292.0,31.32,33.3,,99.88333333333333,99.7,-1.3
경기,2025,5.0,68088.0,31.73,49.9,,100.3,100.30833333333334,0.5
경남,2025,3.7,11970.0,31.59,35.3,,99.79166666666667,99.94166666666666,-1.5
경북,2025,3.6,9160.0,31.24,32.9,,99.73333333333333,99.93333333333334,-2.3
광주,2025,4.3,5983.0,31.7,37.2,,99.35833333333333,99.95833333333333,-2.2
국외,2025,,4217.0,28.47,,,,,
대구,2025,4.0,9416.0,31.61,44.7,,99.125,99.72500000000001,-0.8
대전,2025,6.1,8735.0,31.24,44.3,,99.43333333333334,99.35833333333333,0.8
부산,2025,4.0,12802.0,31.99,45.6,,99.69166666666666,100.35833333333333,-0.9
서울,2025,5.3,49374.0,32.4,66.3,,102.175,100.81666666666666,0.8
세종,2025,5.1,2003.0,32.01,45.8,,101.60833333333333,101.52499999999999,1.0
울산,2025,4.7,5168.0,31.19,39.8,,100.27499999999999,100.71666666666665,-0.6
인천,2025,4.6,13991.0,31.82,43.8,,99.85000000000001,99.93333333333334,1.6
전국,2025,4.7,240326.0,31.62,45.8,,100.31666666666666,100.19166666666666,0.0
전남,2025,4.1,7307.0,31.0,30.9,,99.625,99.76666666666667,-1.4
전북,2025,3.7,6348.0,31.27,33.2,,100.28333333333335,99.95833333333333,-1.7
제주,2025,4.2,2783.0,31.67,36.9,,99.52499999999999,99.47500000000001,-1.8
충남,2025,4.4,9379.0,31.07,34.5,,99.75833333333333,99.72500000000001,0.0
충북,2025,4.6,7310.0,30.99,33.9,,100.18333333333334,100.06666666666666,0.7
